total_en_pageviews.page,total_en_pageviews.total_views
Mia_Khalifa,15268
Erin_Burnett,15258
1996_United_States_presidential_election,15233
Dustin_Higgs,15225
The_Office_(American_TV_series),15204
Elizabeth_Holmes,15171
Tom_Cruise,15114
Bill_Gates,15067
Johnny_Cash,15028
Martin_Van_Buren,14987
Catherine_the_Great,14978
John_Cooper_(serial_killer),14960
Elvis_Presley,14943
List_of_prime_ministers_of_the_United_Kingdom,14937
Bobby_Shmurda,14915
Alice_in_Borderland_(TV_series),14886
Joseph_Stalin,14881
Franklin_Pierce,14874
News_of_the_World_(film),14869
District_of_Columbia_Organic_Act_of_1871,14864
List_of_James_Bond_films,14860
Jonathan_Bailey_(actor),14842
Stellantis,14831
Charles_Manson,14829
Ilhan_Omar,14827
Keanu_Reeves,14825
Whig_Party_(United_States),14822
Mohammed_Siraj,14804
Rachel_Uchitel,14789
Camp_David,14784
Bigg_Boss_(Hindi_season_14),14782
Microsoft_Teams,14780
Helena_Bonham_Carter,14751
David_Lynch,14745
Cynthia_Germanotta,14745
MF_Doom,14744
Spiro_Agnew,14735
Marvel_Cinematic_Universe,14734
Ku_Klux_Klan,14732
TikTok,14731
Alexandra_Pelosi,14724
Onision,14723
Nineteen_Eighty-Four,14712
Edward_VII,14695
Telegram_(software),14690
Marilyn_Monroe,14685
Scott_Parker,14685
Mushoku_Tensei,14676
Sweet_Home_(TV_series),14666
Demetress_Bell,14649
CD_Alcoyano,14620
Attack_on_Titan_(TV_series),14615
The_World's_Billionaires,14611
Benjamin_de_Rothschild,14601
Zooey_Deschanel,14600
Speaker_of_the_United_States_House_of_Representatives,14597
Statue_of_Freedom,14565
Charlotte_of_Mecklenburg-Strelitz,14545
Eminem,14539
List_of_Attack_on_Titan_episodes,14537
Andrew_Yang,14529
Impeachment_of_Donald_Trump,14529
Martial_law_in_the_United_States,14519
Scarlett_Johansson,14505
Jeanine_Pirro,14499
Aquarius_(astrology),14485
Sushant_Singh_Rajput,14466
Stephen_Hawking,14462
Betsy_Ross_flag,14441
Impeachment,14437
Chris_Cuomo,14402
Singapore,14402
Germany,14391
Zayn_Malik,14357
Tulsi_Gabbard,14320
Suicide_methods,14309
Covfefe,14303
Barbara_Bush_(born_1981),14300
Elizabeth_I,14286
Ragnar_Lodbrok,14285
Designated_Survivor_(TV_series),14235
Pirates_of_the_Caribbean_(film_series),14228
Ademola_Lookman,14217
Robert_F._Kennedy_Jr.,14212
The_Boys_(2019_TV_series),14191
Jennifer_Aniston,14187
Angelina_Jolie,14132
Mary-Kate_Olsen,14122
Sergeant_at_Arms_of_the_United_States_House_of_Representatives,14117
Wikipedia:Citation_needed,14107
Chernobyl_disaster,14105
